rank,uid,username,type
1,71161734,焰语娜娜,总督
2,633392,银河子Ginga,舰长
3,3602163,灰燼天堂,舰长
4,1953291,kumakumaru,舰长
5,16675787,Redicult-紅,舰长
6,107954692,酸辣天使腌入味,舰长
7,114121,酔夢_Suimu,舰长
8,306581,别说话-我在潜行,舰长
9,756078,化身海豹の雷尔,舰长
10,675359,出云的天线,舰长
11,262446166,阿biu大烂人,舰长
12,6447109,阿尔卑斯生巧,舰长
13,889732,Tier,舰长
14,1668762828,Amnelis,舰长
15,3097852,Dive炼狱,舰长
16,38947070,咲间观音,舰长
17,11927262,麦片加果冻,舰长
18,455855554,啪叽还没完全寄,舰长
19,542204,羊葱冰沙,舰长
20,17049803,充满智慧的琪露諾,舰长
21,285668540,风车起点,舰长
22,2729248,予星以梦゜,舰长
23,6666274,LadonQ,舰长
24,13921283,我就虾头怎么了,舰长
25,234267434,多吃电脑配件,舰长
26,3493262004324891,山竹_June,舰长
27,1412940,Enyc,舰长
28,673385972,勾勾说我好难受,舰长
29,509608998,青㸛,舰长
30,451589708,自此浮生是梦中,舰长
31,1704421,尤里的猫-卡里普索,舰长
32,648809981,茉离Official,舰长
33,279428150,地夔,舰长
34,46427646,中二疒丙,舰长
35,4366887,受受兽,舰长
36,33804922,伊斯卡恩Kahn,舰长
37,70093,12dora,舰长
38,7681547,包包家的变态,舰长
