rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,114121,酔夢_Suimu,舰长
7,306581,别说话-我在潜行,舰长
8,756078,化身海豹の雷尔,舰长
9,675359,出云的天线,舰长
10,262446166,阿biu大烂人,舰长
11,6447109,阿尔卑斯生巧,舰长
12,20159,露蒂丝爱子吕奉先铁咩,舰长
13,889732,Tier,舰长
14,1668762828,Amnelis,舰长
15,3097852,Dive炼狱,舰长
16,28219035,羽意_,舰长
17,38947070,咲间观音,舰长
18,11927262,麦片加果冻,舰长
19,542204,羊葱冰沙,舰长
20,480992315,樱井飞鸟,舰长
21,67765750,坐在马桶上冥想,舰长
22,41437520,摸鱼因为鱼就在那里,舰长
23,6666274,LadonQ,舰长
24,108735712,十三愚众,舰长
25,2729248,予星以梦゜,舰长
26,391728488,孤股骨姑顾古鼓谷雇鸪,舰长
27,7331220,Konn0Yuuki,舰长
28,224524479,Dreams丁格,舰长
29,81592056,咕白球,舰长
30,33598649,烧仙草不加葡萄干丶,舰长
31,91417,孜然肿瘤,舰长
32,238010,冰炫星炫星冰乐,舰长
33,8195375,萌萌混过关,舰长
34,407275888,马特丹,舰长
35,25799775,痞老板废话超多,舰长
36,473491999,至極普通の魔法使い,舰长
37,12386865,Zakhaevv,舰长
38,5180905,ErisCurse,舰长
39,1420223,龙包包,舰长
