rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,114121,綾見ゆき,舰长
4,675359,出云的天线,舰长
5,306581,别说话-我在潜行,舰长
6,889732,Tier,舰长
7,1668762828,Amnelis,舰长
8,6447109,阿尔卑斯生巧,舰长
9,28219035,羽意_,舰长
10,542204,羊葱冰沙,舰长
11,17049803,充满智慧的琪露諾,舰长
12,6666274,LadonQ,舰长
13,3493262004324891,山竹_June,舰长
14,39749040,清音墨逸,舰长
15,283768,雷云飘飘,舰长
16,13490,CZT_吃枕头,舰长
17,3494355700549992,账号已注销,舰长
18,348979389,音巡梦雨,舰长
19,251481034,Sora泉,舰长
20,17895145,今年的我稍微有些大胆,舰长
21,12873278,古石ビジュー,舰长
22,392831375,奇异果甄好吃,舰长
23,2085410,萌KS,舰长
24,2838958,NPC·ZERO,舰长
25,7427305,醉花宜昼,舰长
26,23161167,箱中的马库斯,舰长
