rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,306581,别说话-我在潜行,舰长
7,756078,化身海豹の雷尔,舰长
8,675359,出云的天线,舰长
9,262446166,阿biu大烂人,舰长
10,6447109,阿尔卑斯生巧,舰长
11,20159,露蒂丝爱子吕奉先铁咩,舰长
12,889732,Tier,舰长
13,1668762828,Amnelis,舰长
14,3097852,Dive炼狱,舰长
15,28219035,羽意_,舰长
16,38947070,咲间观音,舰长
17,11927262,麦片加果冻,舰长
18,542204,羊葱冰沙,舰长
19,480992315,樱井飞鸟,舰长
20,13921283,终将寻得心中安宁,舰长
21,2729248,予星以梦゜,舰长
22,6666274,LadonQ,舰长
23,108735712,十三愚众,舰长
24,391728488,孤股骨姑顾古鼓谷雇鸪,舰长
25,7331220,Konn0Yuuki,舰长
26,1686151,汪三w,舰长
27,33598649,烧仙草不加葡萄干丶,舰长
28,81592056,咕白球,舰长
29,91417,孜然肿瘤,舰长
30,238010,冰炫星炫星冰乐,舰长
31,1412940,沃心向阳,舰长
32,8195375,萌萌混过关,舰长
33,407275888,马特丹,舰长
34,25799775,痞老板废话超多,舰长
35,473491999,至極普通の魔法使い,舰长
36,12386865,Zakhaevv,舰长
37,509608998,青㸛,舰长
38,5180905,ErisCurse,舰长
39,1420223,龙包包,舰长
