rank,uid,username,type
1,524555635,阿伊蕾特的狗AyeletsDog,提督
2,114121,酔夢丸_スピカ,提督
3,633392,银河子Ginga,舰长
4,3602163,灰燼天堂,舰长
5,1953291,kumakumaru,舰长
6,2450682,Rikka哒,舰长
7,16675787,Redicult-紅,舰长
8,107954692,酸辣天使腌入味,舰长
9,403496,阿伊蕾特家的ZeroAsh,舰长
10,28289790,59式-紫薯歼星舰,舰长
11,567234492,玛安娜Myanna,舰长
12,306581,别说话-我在潜行,舰长
13,10699404,模拟列车,舰长
14,675359,出云的天线,舰长
15,756078,化身海豹の雷尔,舰长
16,262446166,阿biu大烂人,舰长
17,4269861,妄想亚撒西の惡魔,舰长
18,6447109,阿尔卑斯生巧,舰长
19,20159,赤血忠心PSP信吕奉先,舰长
20,4841071,誮色葉啵啵冰,舰长
21,22214410,斯兰Sein,舰长
22,355427147,东爱璃Lakuly,舰长
23,889732,Tier,舰长
24,300122031,问邪,舰长
25,7995180,明月光Moonshine,舰长
26,1668762828,Amnelis,舰长
27,28219035,羽意_,舰长
28,3097852,Dive炼狱,舰长
29,11449682,不安定の観測者,舰长
30,455855554,啪叽还没完全寄,舰长
31,5318821,_SENJOR,舰长
32,46148,Nelox_ANiKi,舰长
33,318991124,故辞要困嘎了,舰长
34,417094653,这是哪一位,舰长
35,385680548,阿伊蕾特家的Polar_star,舰长
36,573930836,咲间妮娜Official,舰长
37,11927262,麦片加果冻,舰长
38,12444210,梅尔斯的王叔叔,舰长
39,17049803,充满智慧的琪露諾,舰长
40,14832719,四处有鬼在飞,舰长
41,673844527,水獭灵捏,舰长
42,7130912,灰都ssr,舰长
43,1779885398,一只墨少少,舰长
44,542204,羊葱冰沙,舰长
45,480992315,樱井飞鸟,舰长
46,15872621,白小坎,舰长
47,11399495,鸽一品,舰长
48,1273142,妙啊妙啊_,舰长
49,5812837,樱大路露娜,舰长
50,25752809,加藤倫也,舰长
51,207198333,酒匂Seki,舰长
52,28031728,Erwin丶R,舰长
53,24135010,柴郡,舰长
54,1832060,Senoo14,舰长
55,370422554,吃喝抽烫于老师,舰长
56,19772775,骂骂咧咧の阿升,舰长
