rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,306581,别说话-我在潜行,舰长
7,756078,化身海豹の雷尔,舰长
8,675359,出云的天线,舰长
9,262446166,阿biu大烂人,舰长
10,6447109,阿尔卑斯生巧,舰长
11,20159,露蒂丝铁gachi咩吕奉先,舰长
12,889732,Tier,舰长
13,1668762828,Amnelis,舰长
14,3097852,Dive炼狱,舰长
15,28219035,羽意_,舰长
16,38947070,咲间观音,舰长
17,11927262,麦片加果冻,舰长
18,542204,羊葱冰沙,舰长
19,480992315,樱井飞鸟,舰长
20,2729248,予星以梦゜,舰长
21,13921283,终将寻得心中安宁,舰长
22,6666274,LadonQ,舰长
23,108735712,十三愚众,舰长
24,1686151,汪三w,舰长
25,8195375,萌萌混过关,舰长
26,5180905,ErisCurse,舰长
27,91417,孜然肿瘤,舰长
28,1412940,沃心向阳,舰长
29,3493262004324891,山竹_June,舰长
30,251481034,Sora泉,舰长
31,7574417,早起的喵儿,舰长
32,407275888,马特丹,舰长
33,25799775,痞老板废话超多,舰长
34,473491999,至極普通の魔法使い,舰长
35,12386865,Zakhaevv,舰长
36,509608998,青㸛,舰长
37,813186,有一颗卤蛋,舰长
38,28944869,艾恺特AKT,舰长
39,1704421,尤里的猫-卡里普索,舰长
40,1420223,龙包包,舰长
41,17791824,もちにゃん,舰长
