rank,uid,username,type
1,524555635,阿伊蕾特的狗AyeletsDog,提督
2,403496,阿伊蕾特家的ZeroAsh,提督
3,114121,酔夢_スピカ,提督
4,633392,Ginga银河子,舰长
5,3602163,灰燼天堂,舰长
6,1953291,kumakumaru,舰长
7,2450682,Rikka哒,舰长
8,16675787,Redicult-紅,舰长
9,107954692,酸辣天使腌入味,舰长
10,135679243,弥猫深巷san,舰长
11,28289790,59式-紫薯歼星舰,舰长
12,567234492,玛安娜Myanna,舰长
13,10699404,模拟列车,舰长
14,282545441,Me-Suwin,舰长
15,756078,化身海豹の雷尔,舰长
16,675359,出云的天线,舰长
17,6447109,阿尔卑斯生巧,舰长
18,4269861,妄想亚撒西の惡魔,舰长
19,262446166,阿biu大烂人,舰长
20,24394046,睦月一Hajime,舰长
21,20159,MoE秋露烤晓猪单推人,舰长
22,4841071,誮色葉啵啵冰,舰长
23,300122031,问邪,舰长
24,306581,别说话-我在潜行,舰长
25,43260455,silverrophy001,舰长
26,22214410,斯兰Sein,舰长
27,889732,Tier,舰长
28,355427147,东爱璃Lakuly,舰长
29,7995180,明月光Moonshine,舰长
30,1668762828,Amnelis,舰长
31,28219035,羽意_,舰长
32,11449682,不安定の観測者,舰长
33,24842666,白兰Seki,舰长
34,455855554,啪叽还没完全寄,舰长
35,385680548,阿伊蕾特家的Polar_star,舰长
36,573930836,咲间妮娜Official,舰长
37,5318821,_SENJOR,舰长
38,3097852,Dive炼狱,舰长
39,46148,Nelox_ANiKi,舰长
40,417094653,这是哪一位,舰长
41,38947070,咲间观音,舰长
42,209559923,回归性原理_,舰长
43,11927262,麦片加果冻,舰长
44,30320,伍军,舰长
45,12444210,梅尔斯的王叔叔,舰长
46,17049803,充满智慧的琪露諾,舰长
47,48201199,蓝脸的窦尔敦盗御马,舰长
48,673844527,水獭灵捏,舰长
49,383676225,Monom3r,舰长
50,67765750,坐在马桶上冥想,舰长
51,1779885398,一只墨少少,舰长
52,2736383,萌兔兔少爷-,舰长
53,7130912,灰都ssr,舰长
54,15872621,白小坎,舰长
55,480992315,樱井飞鸟,舰长
56,542204,羊葱冰沙,舰长
57,490336512,阿伊蕾特家的月の白,舰长
58,11399495,鸽一品,舰长
59,32734113,卡哇伊奶,舰长
60,392295,桃脯seki,舰长
61,41437520,摸鱼因为鱼就在那里,舰长
62,13921283,不求上进的废物,舰长
63,11771366,莉夏Lecia,舰长
64,123336685,今天要当力の騎士,舰长
65,33056099,天才咕咕崽,舰长
66,1273142,妙啊妙啊_,舰长
67,43521075,豹纹蓝吊带,舰长
68,5812837,樱大路露娜,舰长
69,420182,郁郁_Yu,舰长
70,131786,清晨的铃音,舰长
71,265228531,骇文Jeff,舰长
72,40813282,千里兰甘廿,舰长
73,15412410,刺刺滴_仙人掌,舰长
74,671538942,黎歌Neeko,舰长
75,6417261,布鲁胖岛戈,舰长
76,25752809,加藤倫也,舰长
77,4362535,屯屯乏,舰长
78,731025,Oujo,舰长
79,207198333,酒匂Seki,舰长
80,381463269,染小楽ゆき,舰长
81,348979389,音巡梦雨,舰长
82,452393585,rXLv寒霜,舰长
83,11308341,城南叶成帷,舰长
84,4402374,云十二丶,舰长
85,25199190,芒果布蕾奶昔,舰长
86,38664763,Start_Anew_,舰长
87,3494367230691792,能叫我瓜瓜吗_,舰长
88,102811680,最喜欢lmb了_mua,舰长
89,608307,七海豚,舰长
90,1605379,异择,舰长
91,2270744,K0KOK0KO,舰长
92,2040003,夜子在发呆,舰长
93,103423,乌丸千岁o,舰长
94,8752092,Singletears1,舰长
95,6679166,无为乎来哉,舰长
96,4646734,花咲く町に君の名を呼ぶ,舰长
97,44080688,EBora-skarn,舰长
98,35253963,Hiiro的尾巴挂件,舰长
99,3494349469911994,宣小拉省电中,舰长
100,3493129682422144,star壹二,舰长
101,28031728,Erwin丶R,舰长
102,226987556,穷的哥哥,舰长
103,218877370,AmorE_Disperato,舰长
104,1832060,Senoo14,舰长
105,153014098,寂为乐,舰长
106,11766075,空城灬伊人,舰长
