rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,107954692,酸辣天使腌入味,舰长
4,114121,綾見Yuki,舰长
5,675359,出云的天线,舰长
6,306581,别说话-我在潜行,舰长
7,262446166,多雲Kumori,舰长
8,889732,Tier,舰长
9,1668762828,Amnelis,舰长
10,28219035,羽意_,舰长
11,542204,羊葱冰沙,舰长
12,17049803,充满智慧的琪露諾,舰长
13,455855554,啪叽还没完全寄,舰长
14,6666274,LadonQ,舰长
15,3493262004324891,山竹_June,舰长
16,5875679,龙吟运风,舰长
17,4181533,听听不下来,舰长
18,1485786,千鹤凪_Nagi,舰长
19,37333655,失忆の只狼,舰长
20,283768,雷云飘飘,舰长
21,13490,CZT_吃枕头,舰长
22,7800814,莫愁莫愁莫,舰长
23,450570246,shttony,舰长
24,13174226,Lzayoiss,舰长
25,12870204,天知道我怎么,舰长
26,29430027,水果摊ss,舰长
27,23335540,艾枚Yimei,舰长
28,523885629,醉月神秘干拉,舰长
29,4678195,雷刧,舰长
30,3494355700549992,屑装备,舰长
