rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,114121,酔夢_Suimu,舰长
7,306581,别说话-我在潜行,舰长
8,756078,化身海豹の雷尔,舰长
9,675359,出云的天线,舰长
10,262446166,阿biu大烂人,舰长
11,889732,Tier,舰长
12,1668762828,Amnelis,舰长
13,3097852,Dive炼狱,舰长
14,542204,羊葱冰沙,舰长
15,67765750,坐在马桶上冥想,舰长
16,41437520,摸鱼因为鱼就在那里,舰长
17,429738872,安笠笠,舰长
18,6666274,LadonQ,舰长
19,391728488,孤股骨姑顾古鼓谷雇鸪,舰长
20,5875679,龙吟运风,舰长
21,108735712,十三愚众,舰长
22,224524479,Dreams丁格,舰长
23,7331220,Konn0Yuuki,舰长
24,95861,凶暴大熊猫,舰长
25,42501799,夏恩Kiro,舰长
26,129495195,长野原大狍子,舰长
27,6799769,无敌小剑,舰长
28,39749040,清音墨逸,舰长
