rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,107954692,酸辣天使腌入味,舰长
4,114121,酔夢_Suimu,舰长
5,675359,出云的天线,舰长
6,306581,别说话-我在潜行,舰长
7,262446166,多雲Kumori,舰长
8,889732,Tier,舰长
9,1668762828,Amnelis,舰长
10,3097852,Dive炼狱,舰长
11,28219035,羽意_,舰长
12,542204,羊葱冰沙,舰长
13,17049803,充满智慧的琪露諾,舰长
14,455855554,啪叽还没完全寄,舰长
15,6666274,LadonQ,舰长
16,3493262004324891,山竹_June,舰长
17,1052926133,无已时,舰长
18,4181533,听听不下来,舰长
19,4525368,月下戏言,舰长
20,39749040,清音墨逸,舰长
21,1485786,千鹤凪_Nagi,舰长
22,283768,雷云飘飘,舰长
23,13490,CZT_吃枕头,舰长
24,487734434,是艾琳不是吉翁,舰长
25,37333655,失忆の只狼,舰长
26,8645059,顽皮小丑,舰长
27,490218804,yyren-,舰长
28,111008723,C3啦31号,舰长
29,11228650,名字都被取完了SKY,舰长
30,354793465,银尘尘归尘丶,舰长
