rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,16675787,Redicult-紅,舰长
4,107954692,酸辣天使腌入味,舰长
5,114121,酔夢_Suimu,舰长
6,675359,出云的天线,舰长
7,306581,别说话-我在潜行,舰长
8,262446166,多雲Kumori,舰长
9,889732,Tier,舰长
10,1668762828,Amnelis,舰长
11,3097852,Dive炼狱,舰长
12,28219035,羽意_,舰长
13,38947070,咲间观音,舰长
14,542204,羊葱冰沙,舰长
15,17049803,充满智慧的琪露諾,舰长
16,455855554,啪叽还没完全寄,舰长
17,6666274,LadonQ,舰长
18,3493262004324891,山竹_June,舰长
19,2017552,滴滴波唧滴滴波波耶,舰长
20,1052926133,无已时,舰长
21,108735712,十三愚众,舰长
22,4181533,听听不下来,舰长
23,25976254,黑风剑的法师,舰长
24,4525368,月下戏言,舰长
25,13490,CZT_吃枕头,舰长
26,487734434,是艾琳不是吉翁,舰长
27,37333655,某帅哥路过喵喵,舰长
28,283768,雷云飘飘,舰长
29,16257134,笨饭无聊,舰长
30,111008723,C3啦31号,舰长
31,11228650,名字都被取完了SKY,舰长
32,354793465,银尘尘归尘丶,舰长
